Field group,Field,,Content,
Identification,Object number,,spectrum/object_number,
,Other number,,spectrum/other_number,
,Number of objects,,spectrum/number_of_objects,
,Object name,,spectrum/object_name,
,,Object name type,spectrum/object_name_type,
,Title,,spectrum/title,
,Brief description,,spectrum/brief_description,
,Comments,,spectrum/comments,
,Distinguishing features,,spectrum/distinguishing_features,
,Responsible department/section,,spectrum/responsible_department_section,
Description,Age,,spectrum/age,
,Colour,,spectrum/colour,
,Content - activity,,spectrum/content_activity,
,Content - concept,,spectrum/content_concept,
,Content - date,,spectrum/content_date,
,Content - description,,spectrum/content_description,
,Content - event name,,spectrum/content_event_name,
,Content - language,,spectrum/content_language,
,Content - note,,spectrum/content_note,
,Content – object,,spectrum/content_object,
,Content - organisation,,spectrum/content_organisation,
,Content - other,,spectrum/content_other,
,Content - people,,spectrum/peoples_culture,
,Content - person,,spectrum/content_person_,
,Content - place,,spectrum/content_place,
,Content - position,,spectrum/content_position,
,Content - script,,spectrum/content_script,
,Copy number,,spectrum/copy_number,
,Dimension,,spectrum/dimension,
,,Dimension measured part,spectrum/dimension_measured_part,
,,Dimension value,spectrum/dimension_value,
,,Dimension measurement unit,spectrum/dimension_measurement_unit,
,Edition number,,spectrum/edition_number,
,Form,,spectrum/form,
,Inscription content,,spectrum/inscription_content,
,,Inscriber,spectrum/inscriber,
,,Inscription date,spectrum/inscription_date,
,,Inscription description,spectrum/inscription_description,
,,Inscription interpretation,spectrum/inscription_interpretation,
,,Inscription language,spectrum/inscription_language,
,,Inscription method,spectrum/inscription_method,
,,Inscription position,spectrum/inscription_position,
,,Inscription script,spectrum/inscription_script,
,,Inscription translation,spectrum/inscription_translation,
,,Inscription transliteration,spectrum/inscription_transliteration,
,,Inscription type,spectrum/inscription_type,
,Material,,spectrum/material,
,Object status,,spectrum/object_status,
,Phase,,spectrum/phase,
,Physical description,,spectrum/physical_description,
,Sex,,spectrum/sex,
,Style,,spectrum/style,
,Technical attribute,,spectrum/technical_attribute,
,Technical attribute measurement,,spectrum/technical_attribute_measurement,
,Object component name,,spectrum/object_component_name,
Location,Current location,,spectrum/current_location,
Requirements,Display recommendations,,spectrum/display_recommendations,
,Environmental recommendations,,spectrum/environmental_recommendations,
,Handling recommendations,,spectrum/handling_recommendations,
,Packing recommendations,,spectrum/packing_recommendations,
Production,Object production date,,spectrum/object_production_date,
,Object production note,,spectrum/object_production_note,
,Object production organisation,,spectrum/object_production_organisation,
,Object production person,,spectrum/object_production_person,
,Object production place,,spectrum/object_production_place,
,Object production reason,,spectrum/object_production_reason,
,Technique,,spectrum/technique,
History and association,Associated activity,,spectrum/associated_activity,
,Associated concept,,spectrum/associated_concept,
,Associated cultural affinity,,spectrum/associated_cultural_affinity,
,Associated date,,spectrum/associated_date,
,Associated event date,,spectrum/associated_event_date,
,Associated event name,,spectrum/associated_event_name,
,Associated object,,spectrum/associated_object,
,Associated object type,,spectrum/associated_object_type,
,Associated organisation ,,spectrum/associated_organisation,
,Associated people ,,spectrum/associated_people,
,Associated person ,,spectrum/associated_person,
,Associated place ,,spectrum/associated_place,
,Association note,,spectrum/association_note,
,Association type,,spectrum/association_type,
,Object history note,,spectrum/object_history_note,
,Owner,,spectrum/owner,
,Ownership dates,,spectrum/ownership_dates,
,Related object number,,spectrum/related_object_number,
,Usage,,spectrum/usage,
,Usage note,,spectrum/usage_note,
Collection,Field collection date,,spectrum/field_collection_date,
,Field collection method,,spectrum/field_collection_method,
,Field collection note,,spectrum/field_collection_note,
,Field collection place ,,spectrum/field_collection_place,
,Field collection source,,spectrum/field_collection_source,
,Field collector,,spectrum/field_collector,
,Geological complex name,,spectrum/geological_complex_name,
,Habitat,,spectrum/habitat,
,Habitat note,,spectrum/habitat_note,
,Stratigraphic unit name,,spectrum/stratigraphic_unit_name,
Rights,Right reference number,,spectrum/right_reference_number,
,Right type,,spectrum/right_type,
,Right holder,,spectrum/right_holder,
,Right note,,spectrum/right_note,
Condition and technical assessment,Completeness,,spectrum/completeness,
,Condition,,spectrum/condition,
Consevation and treatment,Treatment begin date,,spectrum/treatment_begin_date,
,Treatment end date,,spectrum/treatment_end_date,
,Conservation note,,spectrum/conservation_note,
Owner's contribution,Owner’s personal experience,,spectrum/owners_personal_experience,
,Owner’s reference,,spectrum/owners_reference,
,Owner’s contribution note,,spectrum/owners_contribution_note,
Use,Credit line,,spectrum/credit_line,
,Use status,,spectrum/use_status,
,Text,,spectrum/text,
,Use note,,spectrum/use_note,
User's contribution,User’s reference,,spectrum/users_reference,
,User’s role,,spectrum/users_role,
,User’s personal experience,,spectrum/users_personal_experience,
,User’s contribution note,,spectrum/users_contribution_note,
Object entry,Entry number,,spectrum/entry_number,
,Entry date,,spectrum/entry_date,
,Entry method,,spectrum/entry_method,
,Entry reason,,spectrum/entry_reason,
,Depositor,,spectrum/depositor,
,Entry note,,spectrum/entry_note,
,Return date,,spectrum/return_date,
Acquisition information,Accession date,,spectrum/accession_date,
,Acquisition date,,spectrum/acquisition_date,
,Acquisition method,,spectrum/acquisition_method,
,Acquisition note,,spectrum/acquisition_note,
,Acquisition reference number,,spectrum/acquisition_reference_number,
,Acquisition source,,spectrum/acquisition_source,
Condition and technical assessment (Procedural),Condition check/assessment reference number,,spectrum/condition_check/assessment_reference_number,
,Condition checker/assessor ,,spectrum/condition_checker/assessor,
,Condition check/assessment reason,,spectrum/condition_check/assessment_reason,
,Condition check/assessment method,,spectrum/condition_check/assessment_method,
,Condition check/assessment note,,spectrum/condition_check/assessment_note,
,Condition check/assessment date,,spectrum/condition_check_assessment_date,
Conservation and treatment (Procedural),Conservation reference number,,spectrum/conservation_reference_number,
,Conservation authoriser ,,spectrum/conservation_authoriser,
,Conservation method,,spectrum/conservation_method,
,Conservator,,spectrum/conservator,
Use (Procedural),Use reference number,,spectrum/use_reference_number,
,Use type,,spectrum/use_type,
,Use authoriser ,,spectrum/use_authoriser_,
,Use title,,spectrum/use_title,
,Use begin date,,spectrum/use_begin_date,
,Use end date,,spectrum/use_end_date,
,User,,spectrum/user,
,Use organiser,,spectrum/use_organiser,
,Use venue ,,spectrum/use_venue,
,Use result,,spectrum/use_result,
Reproduction,Reproduction number,,spectrum/reproduction_number,
,Current reproduction location,,spectrum/current_reproduction_location,
,Reproduction creator,,spectrum/reproduction_creator,
,Reproduction date,,spectrum/reproduction_date,
,Reproduction description,,spectrum/reproduction_description,
,Reproduction format,,spectrum/reproduction_format,
,Reproduction status,,spectrum/reproduction_status,
,Reproduction type,,spectrum/reproduction_type,
,Reproduction reason,,spectrum/reproduction_reason,
